FL_DATE,CARRIER,FL_NUM,ORIGIN,ORIGIN_CITY_NAME,LAT,LONG,ORIGIN_STATE_ABR,DEST,DEST_CITY_NAME,DEST_STATE_ABR,CRS_DEP_TIME,DEP_TIME,DEP_DELAY_NEW,DEP_DEL15,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1/1/2015,B6,481,DCA,"Washington, DC",38.852083,-77.037722,VA,RSW,"Fort Myers, FL",FL,1440,1432,0,0,12,1444,1700,5,1719,1705,-14,0,0,0,159,153,892,,,,,
1/1/2015,B6,482,RSW,"Fort Myers, FL",26.536167,-81.755167,FL,DCA,"Washington, DC",VA,1802,1747,0,0,10,1757,1956,12,2019,2008,-11,0,0,0,137,141,892,,,,,
1/1/2015,B6,681,DCA,"Washington, DC",38.852083,-77.037722,VA,RSW,"Fort Myers, FL",FL,2015,2010,0,0,18,2028,2244,4,2254,2248,-6,0,0,0,159,158,892,,,,,
1/1/2015,B6,682,RSW,"Fort Myers, FL",26.536167,-81.755167,FL,DCA,"Washington, DC",VA,1000,957,0,0,9,1006,1217,3,1213,1220,7,7,0,0,133,143,892,,,,,
1/1/2015,B6,689,BOS,"Boston, MA",42.364347,-71.005181,MA,DCA,"Washington, DC",VA,1218,1216,0,0,12,1228,1348,4,1359,1352,-7,0,0,0,101,96,399,,,,,
1/1/2015,B6,690,DCA,"Washington, DC",38.852083,-77.037722,VA,BOS,"Boston, MA",MA,1536,1523,0,0,16,1539,1641,5,1701,1646,-15,0,0,0,85,83,399,,,,,
1/1/2015,B6,715,DCA,"Washington, DC",38.852083,-77.037722,VA,JAX,"Jacksonville, FL",FL,1609,1604,0,0,16,1620,1805,4,1814,1809,-5,0,0,0,125,125,634,,,,,
1/1/2015,B6,716,JAX,"Jacksonville, FL",30.494056,-81.687861,FL,DCA,"Washington, DC",VA,1315,1310,0,0,10,1320,1443,2,1459,1445,-14,0,0,0,104,95,634,,,,,
1/1/2015,B6,634,PBI,"West Palm Beach/Palm Beach, FL",26.683161,-80.095589,FL,DCA,"Washington, DC",VA,1105,1053,0,0,14,1107,1306,4,1320,1310,-10,0,0,0,135,137,857,,,,,
1/1/2015,B6,723,DCA,"Washington, DC",38.852083,-77.037722,VA,MCO,"Orlando, FL",FL,700,652,0,0,13,705,856,6,923,902,-21,0,0,0,143,130,759,,,,,
